"Sekcja","Klucz","EN","PL","ES","Uwagi"
"Marka","brand.name","Chris Bartosik","Krzysztof Bartosik","Chris Bartosik","Wordmark na stronie zostaje Chris; to imie w copy PL"
"Marka","brand.firstName","Chris","Krzysztof","Chris","To samo"
"Stopka","footer.credit","Made with passion by Chris Bartosik","Stworzone z pasją przez Krzysztofa Bartosika","Hecho con pasión por Chris Bartosik",""
"Stopka","footer.rights","© 2026 Krzysztof Bartosik — All rights reserved","© 2026 Krzysztof Bartosik — Wszelkie prawa zastrzeżone","© 2026 Krzysztof Bartosik — Todos los derechos reservados",""
"Nawigacja","nav.home","Home","Strona główna","Inicio",""
"Nawigacja","nav.skills","Skills","Umiejętności","Habilidades",""
"Nawigacja","nav.projects","Projects","Projekty","Proyectos",""
"Nawigacja","nav.about","About me","O mnie","Sobre mí",""
"Nawigacja","nav.openMenu","Open menu","Otwórz menu","Abrir menú",""
"Nawigacja","nav.closeMenu","Close menu","Zamknij menu","Cerrar menú",""
"Nawigacja","nav.homeAria","Chris Bartosik — home","Krzysztof Bartosik — strona główna","Chris Bartosik — inicio",""
"Nawigacja","nav.language","Language","Język","Idioma",""
"Nawigacja","nav.main","Main","Główne","Principal",""
"Nawigacja","nav.mobile","Mobile","Mobilne","Móvil",""
"CTA","cta.workWithMe","Let's collaborate","Współpracujmy","Colaboremos",""
"Projekty (UI)","project.client","Client","Klient","Cliente",""
"Projekty (UI)","project.overview","Overview","Przegląd","Descripción",""
"Projekty (UI)","project.challenges","Challenges","Wyzwania","Retos",""
"Projekty (UI)","project.strategy","Strategy","Strategia","Estrategia",""
"Projekty (UI)","project.summary","Summary","Podsumowanie","Resumen",""
"Projekty (UI)","project.service","Service","Usługa","Servicio",""
"Projekty (UI)","project.industry","Industry","Branża","Industria",""
"Projekty (UI)","project.market","Market","Rynek","Mercado",""
"Projekty (UI)","project.year","Year","Rok","Año",""
"Projekty (UI)","project.live","Live","Live","Live",""
"Projekty (UI)","project.view","view","zobacz","ver",""
"Projekty (UI)","project.comingSoon","coming soon","już wkrótce","muy pronto",""
"Skills","skills.pageTitle","Skills","Umiejętności","Habilidades",""
"Skills","skills.pageDescription","Designed with logic, built for scale — product UX/UI, motion, generative AI, and AI-assisted development.","Zaprojektowane z logiką, zbudowane na skalę — product UX/UI, motion, generative AI i development wspierany AI.","Diseñado con lógica, construido para escalar — product UX/UI, motion, IA generativa y desarrollo asistido por IA.",""
"Skills","skills.headingLine1","Designed with Logic,","Zaprojektowane z logiką,","Diseñado con lógica,",""
"Skills","skills.headingLine2","Built for Scale","Zbudowane na skalę","Construido para escalar",""
"Skills","skills.tools","Tools","Narzędzia","Herramientas",""
"Skills","skills.s1Title","Product UX/UI & Design Systems","Product UX/UI i design systemy","Product UX/UI y design systems",""
"Skills","skills.s1Intro","I design scalable digital ecosystems that align user needs with business goals. From initial discovery to long-term system maintenance, every component is built for longevity and seamless performance across platforms.","Projektuję skalowalne ekosystemy cyfrowe, które łączą potrzeby użytkowników z celami biznesu. Od discovery po długoterminowe utrzymanie systemu — każdy komponent jest budowany na trwałość i płynne działanie na wszystkich platformach.","Diseño ecosistemas digitales escalables que alinean las necesidades del usuario con los objetivos de negocio. Desde el discovery inicial hasta el mantenimiento a largo plazo, cada componente se construye para durar y funcionar con fluidez en todas las plataformas.",""
"Skills","skills.s1F1Title","Design System Architecture","Architektura design systemu","Arquitectura de design system",""
"Skills","skills.s1F1Body","Building, scaling, and maintaining unified Figma design systems with tokens, variables, and flexible component libraries.","Budowa, skalowanie i utrzymanie spójnych design systemów w Figmie — tokeny, zmienne i elastyczne biblioteki komponentów.","Construir, escalar y mantener design systems unificados en Figma con tokens, variables y librerías de componentes flexibles.",""
"Skills","skills.s1F2Title","Data-Informed UX","UX oparty na danych","UX basado en datos",""
"Skills","skills.s1F2Body","Analyzing real user behavior with Clarity, Google Analytics, and running structured A/B tests to optimize conversion flows.","Analiza realnego zachowania użytkowników w Clarity i Google Analytics oraz uporządkowane testy A/B, żeby optymalizować ścieżki konwersji.","Analizar el comportamiento real de usuarios con Clarity y Google Analytics, y correr tests A/B estructurados para optimizar flujos de conversión.",""
"Skills","skills.s1F3Title","Multi-Platform Interfaces","Interfejsy multiplatformowe","Interfaces multiplataforma",""
"Skills","skills.s1F3Body","Designing responsive web applications (Mobile-First), native mobile apps, and custom physical hardware interfaces like interactive kiosks.","Projektowanie responsywnych aplikacji web (mobile-first), natywnych aplikacji mobilnych i fizycznych interfejsów sprzętowych, np. interaktywnych kiosków.","Diseñar aplicaciones web responsive (mobile-first), apps nativas y interfaces de hardware físico como kioscos interactivos.",""
"Skills","skills.s2Title","Interactive Motion & Micro-Interactions","Interaktywny motion i mikrointerakcje","Motion interactivo y microinteracciones",""
"Skills","skills.s2Intro","Motion isn't just decoration—it's feedback and UX continuity. I specialize in lightweight, interactive animations that give products a pixel-perfect, modern feel without degrading system performance.","Motion to nie dekoracja — to feedback i ciągłość UX. Specjalizuję się w lekkich, interaktywnych animacjach, które dają produktom pixel-perfect, nowoczesne uczucie bez spadku wydajności.","El motion no es decoración: es feedback y continuidad de UX. Me especializo en animaciones interactivas ligeras que dan a los productos un feel moderno y pixel-perfect sin degradar el rendimiento.",""
"Skills","skills.s2F1Title","Rive State Machines","Rive State Machines","Rive State Machines","Duplikat tytulu s2F2 — warto rozroznic"
"Skills","skills.s2F1Body","Interactive Micro-Interactions, UI State Animations, Asset Optimization.","Interaktywne mikrointerakcje, animacje stanów UI, optymalizacja assetów.","Microinteracciones interactivas, animaciones de estado de UI, optimización de assets.",""
"Skills","skills.s2F2Title","Rive State Machines","Rive State Machines","Rive State Machines","Duplikat tytulu s2F1 — warto rozroznic"
"Skills","skills.s2F2Body","Creating lightweight, interactive animations and state-driven UI logic that respond dynamically to user input.","Tworzenie lekkich, interaktywnych animacji i logiki UI opartej na stanach, która reaguje dynamicznie na input użytkownika.","Crear animaciones interactivas ligeras y lógica de UI basada en estados que responde de forma dinámica al input del usuario.",""
"Skills","skills.s2F3Title","UI Polish & Micro-Interactions","Szlif UI i mikrointerakcje","Pulido de UI y microinteracciones",""
"Skills","skills.s2F3Body","Enhancing overall product feel through functional micro-interactions, state transitions, and interactive visual feedback.","Podnoszenie odczucia produktu przez funkcjonalne mikrointerakcje, przejścia stanów i interaktywny feedback wizualny.","Elevar el feel del producto con microinteracciones funcionales, transiciones de estado y feedback visual interactivo.",""
"Skills","skills.s2F4Title","Motion Specs for Dev","Specyfikacje motion dla deweloperów","Specs de motion para desarrollo",""
"Skills","skills.s2F4Body","Preparing clear motion assets, Lottie files, and Rive runtimes ready for seamless front-end integration.","Przygotowanie jasnych assetów motion, plików Lottie i runtime’ów Rive gotowych do płynnej integracji front-end.","Preparar assets de motion claros, archivos Lottie y runtimes de Rive listos para una integración front-end fluida.",""
"Skills","skills.s3Title","Generative AI Visual Pipelines","Wizualne pipeline’y generative AI","Pipelines visuales de IA generativa",""
"Skills","skills.s3Intro","I deeply integrate generative AI into my production workflow. By combining modern AI toolsets, I explore visual concepts, generate custom assets, and produce high-end compositions in hours instead of weeks.","Głęboko wpinam generative AI w workflow produkcyjny. Łącząc nowoczesne narzędzia AI, eksploruję koncepcje wizualne, generuję custom assety i składam high-end kompozycje w godziny zamiast tygodni.","Integro la IA generativa a fondo en mi workflow de producción. Combinando toolsets modernos de IA, exploro conceptos visuales, genero assets a medida y produzco composiciones high-end en horas en lugar de semanas.",""
"Skills","skills.s3F1Title","Asset & Concept Production","Produkcja assetów i konceptów","Producción de assets y conceptos",""
"Skills","skills.s3F1Body","Integrating generative AI tools into daily workflows to explore concepts and build custom visual assets in hours.","Wpinanie narzędzi generative AI w codzienny workflow, żeby eksplorować koncepty i budować custom assety wizualne w godziny.","Integrar herramientas de IA generativa en el workflow diario para explorar conceptos y construir assets visuales a medida en horas.",""
"Skills","skills.s3F2Title","High-End Visual Compositions","Kompozycje wizualne high-end","Composiciones visuales high-end",""
"Skills","skills.s3F2Body","Creating custom graphics, video loops, and dynamic visual layouts for digital campaigns and brand touchpoints.","Tworzenie custom grafik, pętli wideo i dynamicznych layoutów wizualnych na kampanie cyfrowe i brand touchpointy.","Crear gráficos a medida, loops de video y layouts visuales dinámicos para campañas digitales y touchpoints de marca.",""
"Skills","skills.s3F3Title","Prompt Engineering & Upscaling","Prompt engineering i upscaling","Prompt engineering y upscaling",""
"Skills","skills.s3F3Body","Fine-tuning generation inputs and upscaling outputs to deliver production-ready, pixel-perfect visual assets.","Dostrajanie inputów generacji i upscaling outputów, żeby dostarczać production-ready, pixel-perfect assety wizualne.","Afinar los inputs de generación y upscalear los outputs para entregar assets visuales production-ready y pixel-perfect.",""
"Skills","skills.s4Title","AI Development & No-Code Execution","Development z AI i realizacja no-code","Desarrollo con IA y ejecución no-code",""
"Skills","skills.s4Intro","I bridge the gap between design and production code. By leveraging AI coding assistants and modern web platforms, I rapidly turn complex design files into responsive, production-ready websites.","Łączę design z kodem produkcyjnym. Dzięki AI coding assistants i nowoczesnym platformom web szybko zamieniam złożone pliki designu w responsywne, production-ready strony.","Uno el diseño con el código de producción. Con asistentes de código de IA y plataformas web modernas, convierto archivos de diseño complejos en sitios responsive y production-ready con rapidez.",""
"Skills","skills.s4F1Title","AI-Assisted Web Building","Budowa stron ze wsparciem AI","Construcción web asistida por IA",""
"Skills","skills.s4F1Body","Building, prototyping, and deploying custom production-ready web platforms using Cursor AI and Claude Code.","Budowa, prototypowanie i wdrażanie customowych, production-ready platform webowych z Cursor AI i Claude Code.","Construir, prototipar y desplegar plataformas web a medida y production-ready con Cursor AI y Claude Code.",""
"Skills","skills.s4F2Title","Webflow & No-Code Platforms","Webflow i platformy no-code","Webflow y plataformas no-code",""
